"filename", "language", "XML", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\JS\indexedDB.js", "JavaScript", 0, 0, 46, 54, 27, 127
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\JS\settings.js", "JavaScript", 0, 0, 2, 1, 1, 4
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\JS\settingsLoader.js", "JavaScript", 0, 0, 11, 0, 1, 12
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\JS\time.js", "JavaScript", 0, 0, 12, 1, 5, 18
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\EF_scale.html", "HTML", 0, 1, 0, 0, 0, 1
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\Specific_tors\Elie_Oakville.html", "HTML", 0, 4, 0, -3, -1, 0
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\Specific_tors\May31st_1985_Outbreak.html", "HTML", 0, 81, 0, 1, 20, 102
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\Specific_tors\WindsorF4.html", "HTML", 0, 109, 0, 1, 20, 130
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\g_earth.html", "HTML", 0, 1, 0, 0, 0, 1
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\helpful_links.html", "HTML", 0, 57, 0, 0, 4, 61
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\test\test.js", "JavaScript", 0, 0, 0, -14, -5, -19
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\2020's\mayfield.html", "HTML", 0, 1, 0, 0, 0, 1
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\example.html", "HTML", 0, 1, 0, 0, 0, 1
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\landing.html", "HTML", 0, 1, 0, 0, 0, 1
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\notEF5.html", "HTML", 0, 1, 0, 0, 0, 1
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\settings.html", "HTML", 0, 2, 0, 0, 0, 2
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\sitemap.xml", "XML", 18, 0, 0, 0, 0, 18
"Total", "-", 18, 259, 71, 41, 72, 461
