"filename", "language", "PostCSS", "Markdown", "XML", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\JS\indexedDB.js", "JavaScript", 0, 0, 0, 0, 46, 54, 27, 127
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\JS\settings.js", "JavaScript", 0, 0, 0, 0, 38, 34, 20, 92
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\JS\settingsLoader.js", "JavaScript", 0, 0, 0, 0, 39, 7, 13, 59
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\JS\time.js", "JavaScript", 0, 0, 0, 0, 64, 4, 13, 81
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\README.md", "Markdown", 0, 17, 0, 0, 0, 0, 13, 30
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\format.html", "HTML", 0, 0, 0, 38, 0, 1, 5, 44
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\index.html", "HTML", 0, 0, 0, 112, 0, 11, 18, 141
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\About.html", "HTML", 0, 0, 0, 50, 0, 0, 7, 57
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs.html", "HTML", 0, 0, 0, 62, 0, 1, 9, 72
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\DAT.html", "HTML", 0, 0, 0, 85, 0, 1, 11, 97
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\EF_scale.html", "HTML", 0, 0, 0, 266, 0, 6, 42, 314
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\Placeholder.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\Specific_tors\Elie_Oakville.html", "HTML", 0, 0, 0, 164, 0, 1, 31, 196
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\Specific_tors\May31st_1985_Outbreak.html", "HTML", 0, 0, 0, 81, 0, 1, 20, 102
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\Specific_tors\WindsorF4.html", "HTML", 0, 0, 0, 109, 0, 1, 20, 130
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\g_earth.html", "HTML", 0, 0, 0, 59, 0, 0, 8, 67
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\helpful_links.html", "HTML", 0, 0, 0, 282, 0, 0, 19, 301
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\test\test.html", "HTML", 0, 0, 0, 59, 0, 6, 16, 81
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\test\test.js", "JavaScript", 0, 0, 0, 0, 63, 15, 35, 113
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\test\worker.js", "JavaScript", 0, 0, 0, 0, 7, 2, 3, 12
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\2010's\placeholder.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\2020's\mayfield.html", "HTML", 0, 0, 0, 111, 0, 0, 12, 123
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\example.html", "HTML", 0, 0, 0, 54, 0, 0, 9, 63
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\landing.html", "HTML", 0, 0, 0, 61, 0, 3, 5, 69
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\notEF5.html", "HTML", 0, 0, 0, 62, 0, 0, 8, 70
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Photography\2022.html", "HTML", 0, 0, 0, 47, 0, 0, 9, 56
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Blogs\Photography\Aurora's.html", "HTML", 0, 0, 0, 50, 0, 0, 8, 58
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Meteorology.html", "HTML", 0, 0, 0, 59, 0, 1, 7, 67
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\Photography.html", "HTML", 0, 0, 0, 65, 0, 4, 11, 80
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\pages\settings.html", "HTML", 0, 0, 0, 61, 0, 1, 11, 73
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\sitemap.xml", "XML", 0, 0, 93, 0, 0, 0, 2, 95
"c:\Users\conno\Documents\vss\connorleatherdale.github.io\style.css", "PostCSS", 458, 0, 0, 0, 0, 35, 115, 608
"Total", "-", 458, 17, 93, 1937, 257, 189, 529, 3480
